Account,Annual Revenue,MAU,Vertical,MGR,commited mrr delta,total net mrr (ae),Tier
코밴,"63,400,000,000","119,073",B2B & 솔루션 | B2B & Solutions,"600,000","617,250","617,250",Tier 2
두나무,"1,709,580,000,000","289,639",B2B & 솔루션 | B2B & Solutions,"5,000,000",,,Tier 1
로지스팟,"81,517,050,000","85,471",제조 & 유통 | Manufacturing & Distribution,"2,000,000","2,000,128","2,000,128",Tier 2
현대이지웰,"126,700,000,000","46,899",커머스 | Commerce,"1,000,000","1,000,000","1,000,000",Tier 3
미디어닥터,"23,774,917,000","23,158",커머스 | Commerce,"500,000","743,137","743,137",Tier 4
엠아이티마스,"26,563,966,000","3,078",B2B & 솔루션 | B2B & Solutions,"800,000",,,Tier 5
목포대학교,"46,100,000,000","231,454",교육 | Education,"800,000",,,Tier 2
특허법인 해안,"7,000,000,000",299,전문 산업군 | Professional Services,"500,000",,,Tier 5
리카온,"20,000,000,000","13,212",B2B & 솔루션 | B2B & Solutions,"1,200,000",,,Tier 4
네슬레코리아,"490,000,000,000","21,920",제조 & 유통 | Manufacturing & Distribution,"2,000,000",,,Tier 3
신성자동차,"264,967,000,000","10,127",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000",,,Tier 3
골프존,"556,966,910,000","992,555",여행 & 숙박 | Travel & Hospitality,"3,000,000",,,Tier 1
배상면주가,"28,300,000,000","117,018",커머스 | Commerce,"1,000,000","962,250","962,250",Tier 2
아주레포츠,"34,950,020,000","45,339",여행 & 숙박 | Travel & Hospitality,"700,000","195,750","195,750",Tier 4
신세계아이앤씨 (POS 사업부),"625,700,000,000","60,681",B2B & 솔루션 | B2B & Solutions,"1,200,000",,,Tier 3
케이피보험서비스(주),"2,000,000,000","3,417",기타 | Others,"3,000,000","2,706,600","2,706,600",Tier 5
퓨어다,"11,793,084,000","273,884",커머스 | Commerce,"1,000,000","808,455","808,455",Tier 2
하이비즈코리아,"5,700,000,000","5,929",커머스 | Commerce,"700,000",,,Tier 5
이스트에이드,"6,000,000,000","8,290",B2B & 솔루션 | B2B & Solutions,"500,000",,,Tier 5
투앤업,"18,300,000,000",-,커머스 | Commerce,"600,000",,,
스피드썬,"17,494,360,000","2,987",커머스 | Commerce,"900,000","569,250","569,250",Tier 5
닥터미성형외과,"9,000,000,000","2,429",헬스케어 | Healthcare,"700,000",,,Tier 5
트루엔뉴트리션,"12,800,000,000","6,950",커머스 | Commerce,"600,000",,,Tier 5
이옌,"7,000,000,000","48,473",커머스 | Commerce,"700,000","746,887","746,887",Tier 4
젠아웃도어,"2,700,000,000","147,648",커머스 | Commerce,"700,000","512,250","512,250",Tier 4
비엔케이스포츠 밤켈,"7,000,000,000","9,074",커머스 | Commerce,"500,000","617,137","617,137",Tier 5
비알티,"15,700,000,000","1,365,000",커머스 | Commerce,"1,000,000","714,750","714,750",Tier 2
농업회사법인 솔직,"7,000,000,000","11,513",커머스 | Commerce,"500,000","209,637","209,637",Tier 4
이룸넷,"10,500,000,000","5,437",B2B & 솔루션 | B2B & Solutions,"600,000",,,Tier 5
위닉스,"328,991,000,000","170,927",커머스 | Commerce,"1,500,000",,,Tier 3
웹케시,"74,100,000,000","50,026",B2B & 솔루션 | B2B & Solutions,"1,500,000","1,524,750","1,524,750",Tier 3
투데이,"7,200,000,000","9,341",커머스 | Commerce,"600,000",,"607,125",Tier 5
KFR제일렌트카,"15,400,000,000",448,렌탈 & 모빌리티 | Rental & Mobility,"1,200,000",,,Tier 5
(주)위너스텔,"4,451,206,000","10,967",전문 산업군 | Professional Services,"2,000,000",,,Tier 5
이앤에스인터내셔널,"20,000,000,000","8,423",커머스 | Commerce,"800,000",,,Tier 5
에스네이처,"9,628,161,000","15,208",커머스 | Commerce,"1,000,000","643,387","643,387",Tier 4
토스모바일,"48,100,000,000","46,238",B2B & 솔루션 | B2B & Solutions,"2,000,000",,,Tier 4
매일법률사무소,-,-,전문 산업군 | Professional Services,"700,000","295,500","295,500",
한우자조금관리위원회 블랙빈,"64,000,000,000","91,329",커머스 | Commerce,"600,000",,,Tier 2
노무법인이산,"20,400,000,000","4,724",전문 산업군 | Professional Services,"800,000",,,Tier 5
전북현대모터스,"50,100,000,000","119,953",기타 | Others,"800,000",,,Tier 2
우영,"24,600,000,000","8,483",커머스 | Commerce,"700,000","377,137","377,137",Tier 5
카카오헬스케어,"11,900,000,000","17,368",헬스케어 | Healthcare,"3,000,000",,,Tier 4
