Company / Account,Lead ID,Annual Revenue,Vertical (New),MAU,연매출 구간,MAU 구간,2차 QC,티어 구분 (실시간 반영),Tier_클러스터링 기준,Tier (Vertical Quantile)
틱톡코리아,00Q2w00000iYqW0,"29,300,000,000",기타 | Others,"3,044,000,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 4
월트디즈니컴퍼니코리아,00QIg0000026GEy,"179,451,640,000",기타 | Others,"347,100,000",1000억 - 3000억 미만  ,10만 이상,Pass,,,Tier 2
페더럴익스프레스코리아,00QIg0000015WTT,"517,599,174,640",기타 | Others,"179,600,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
크리테오,00Q2w00000iYqWZ,"129,522,310,000",B2B & 솔루션 | B2B & Solutions,"151,000,000",1000억 - 3000억 미만  ,10만 이상,Pass,,,Tier 1
아고다,00Q2w00000hEUyS,"11,900,000,000,000",여행 & 숙박 | Travel & Hospitality,"95,660,000",1조 이상,10만 이상,Pass,,,Tier 1
네이버쇼핑,00Q2w00000iYqV8,"2,923,000,000,000",커머스 | Commerce,"93,000,000",1조 이상,10만 이상,Pass,,,Tier 1
우버택시,00Q2w00000hGkNg,"61,600,000,000,000",렌탈 & 모빌리티 | Rental & Mobility,"77,840,000",1조 이상,10만 이상,Pass,,,Tier 1
에이치앤엠헤네스앤모리츠,00QIg0000015EQ9,"373,000,000,000",커머스 | Commerce,"68,970,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
동아닷컴,00QIg0000025Y2m,"23,389,096,000",기타 | Others,"65,360,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 4
동아일보사,00Q2w00000hFXaI,"271,518,970,000",기타 | Others,"65,360,000",1000억 - 3000억 미만  ,10만 이상,Pass,,,Tier 1
디에이치엘글로벌포워딩코리아,00QIg0000024jdd,"578,541,000,000",제조 & 유통 | Manufacturing & Distribution,"61,200,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
에이비디에셋,00QTJ00000lhlNM,"15,800,000,000",여행 & 숙박 | Travel & Hospitality,"54,910,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 3
레노버글로벌테크놀로지코리아,00QIg0000024kI5,"160,801,000,000",커머스 | Commerce,"46,760,000",1000억 - 3000억 미만  ,10만 이상,Pass,,,Tier 1
레고,00QTJ00000Hk4Zq,"173,700,000,000",커머스 | Commerce,"44,190,000",1000억 - 3000억 미만  ,10만 이상,Pass,,,Tier 1
앱스플라이어,00Q2w00000iYqW3,"520,000,000,000",B2B & 솔루션 | B2B & Solutions,"42,950,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
조선일보,00QTJ00000I9PeO,"311,600,000,000",기타 | Others,"42,560,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
넥슨,00QIg00000254cg,"3,900,000,000,000",B2B & 솔루션 | B2B & Solutions,"38,180,000",1조 이상,10만 이상,Pass,,,Tier 1
에이비일팔공,00Q2w00000hG1Ld,"32,648,310,000",B2B & 솔루션 | B2B & Solutions,"30,380,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 3
제네바부산,00QTJ00000lhlGX,"19,000,000,000",여행 & 숙박 | Travel & Hospitality,"28,090,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 3
줌인,00QTJ00000G2cBG,"27,000,000,000",B2B & 솔루션 | B2B & Solutions,"25,050,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 3
엘지전자,00Q2w00000iYqWC,"87,000,000,000,000",제조 & 유통 | Manufacturing & Distribution,"20,790,000",1조 이상,10만 이상,Pass,,,Tier 1
매일경제신문사,00Q2w00000hFXa4,"234,724,380,000",기타 | Others,"20,720,000",1000억 - 3000억 미만  ,10만 이상,Pass,,,Tier 1
미즈호은행,00QIg0000024jM7,"6,561,590,000,000",전문 산업군 | Professional Services,"20,600,000",1조 이상,10만 이상,Pass,,,Tier 1
하이에어코리아,00QIg0000024jm7,"379,486,000,000",제조 & 유통 | Manufacturing & Distribution,"20,600,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
씨제이온스타일,00QIg00000159NM,"1,451,400,000,000",커머스 | Commerce,"18,910,000",1조 이상,10만 이상,Pass,,,Tier 1
한국아이비엠,00QIg0000024jcS,"617,774,000,000",B2B & 솔루션 | B2B & Solutions,"16,550,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
경향신문사,00Q2w00000hFXaZ,"76,638,740,000",기타 | Others,"16,540,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 2
라이브스코어,00QTJ00000G8dvq,"11,000,000,000",기타 | Others,"15,140,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 4
시스코,00Q2w00000i0kWN,"31,321,920,000",B2B & 솔루션 | B2B & Solutions,"15,120,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 3
블라인드,00Q2w00000hGSV9,"30,000,000,000",기타 | Others,"14,250,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 4
워맥스,00QTJ000008eFwb,"48,828,721,359",커머스 | Commerce,"13,260,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 2
풋락커코리아,00QIg0000025aoB,"36,847,861,000",커머스 | Commerce,"12,940,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 2
MBC,00Q2w00000iYqZ4,"748,036,610,000",기타 | Others,"11,550,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
농업협동조합중앙회,00QIg0000024jM4,"6,663,990,000,000",기타 | Others,"10,550,000",1조 이상,10만 이상,Pass,,,Tier 1
샤넬,00Q2w00000hEYDP,"1,844,500,000,000",커머스 | Commerce,"10,460,000",1조 이상,10만 이상,Pass,,,Tier 1
알로요가코리아,00QTJ00000lF8oc,"1,400,000,000,000",커머스 | Commerce,"9,738,000",1조 이상,10만 이상,Pass,,,Tier 1
마시모두띠코리아,00Q2w00000hEWCL,"54,700,000,000",커머스 | Commerce,"9,267,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 1
메타넷티플랫폼,00QIg0000024jrF,"314,464,000,000",B2B & 솔루션 | B2B & Solutions,"9,021,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
순덕철강,00QIg0000024jrf,"310,182,000,000",제조 & 유통 | Manufacturing & Distribution,"9,021,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 2
에스피씨지에프에스,00QIg0000024jRF,"1,804,070,000,000",B2B & 솔루션 | B2B & Solutions,"9,021,000",1조 이상,10만 이상,Pass,,,Tier 1
범아로지텍,00QIg0000025XZF,"24,271,580,000",제조 & 유통 | Manufacturing & Distribution,"9,004,000",100억 - 1000억 미만 ,10만 이상,Pass,,,Tier 4
에르메스,00QTJ00000AuEFR,"964,200,000,000",커머스 | Commerce,"8,694,000",3000억 - 1조 미만,10만 이상,Pass,,,Tier 1
